                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4162,                 2.0626,                 1.6588,                0.55957,                0.41618,                0.49581,                0.24316,                 1.7099,                 2.7099,                 2.0365,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.4997,                 1.8367,                 1.6988,                0.51081,                0.50289,                0.45314,                0.21231,                 1.6976,                 2.3796,                 2.2783,              0.0012767,              0.0012767,              0.0012767
                      3,                 1.5678,                 1.7891,                 1.7535,                0.28363,                0.24277,                0.16134,                0.06021,                 2.0343,                 2.7402,                 2.5192,              0.0018558,              0.0018558,              0.0018558
                      4,                 1.5804,                 1.7674,                  1.774,                0.33105,                0.38728,                0.26207,                0.11222,                 2.0416,                 2.5967,                 2.3282,               0.001802,               0.001802,               0.001802
                      5,                 1.4906,                 1.5963,                 1.7128,                0.46967,                0.58382,                0.48691,                0.20561,                 1.7389,                 2.0871,                      2,               0.001802,               0.001802,               0.001802
                      6,                  1.529,                 1.5876,                 1.7506,                0.49674,                0.56069,                0.55337,                0.27708,                  1.694,                 1.7938,                 2.1722,               0.001736,               0.001736,               0.001736
                      7,                 1.4817,                 1.4511,                 1.6788,                0.55948,                0.56069,                0.56513,                 0.3095,                 1.6049,                 1.6314,                 2.0144,                0.00167,                0.00167,                0.00167
                      8,                   1.44,                 1.3766,                 1.6414,                0.66368,                0.65019,                0.66186,                0.34096,                 1.6146,                 1.4403,                 1.9419,               0.001604,               0.001604,               0.001604
                      9,                 1.4377,                 1.3326,                 1.6355,                 0.6821,                0.64162,                0.68949,                0.40024,                 1.4465,                 1.4411,                 1.8176,               0.001538,               0.001538,               0.001538
                     10,                 1.3896,                 1.2721,                 1.6024,                0.75464,                0.55113,                0.65801,                0.37192,                 1.7447,                  1.476,                 2.0974,               0.001472,               0.001472,               0.001472
                     11,                 1.3877,                 1.2855,                 1.6223,                0.59862,                0.68968,                0.65543,                0.35044,                 1.4297,                 1.3612,                 1.7647,               0.001406,               0.001406,               0.001406
                     12,                 1.3638,                 1.2229,                 1.5729,                0.56845,                0.63006,                 0.5526,                0.27656,                 1.7005,                 1.8598,                  2.182,                0.00134,                0.00134,                0.00134
                     13,                 1.3428,                 1.2042,                 1.5739,                 0.7011,                0.78613,                0.76095,                0.45505,                 1.4779,                 1.3043,                 1.8171,               0.001274,               0.001274,               0.001274
                     14,                 1.3549,                 1.1765,                 1.5754,                0.66806,                0.71098,                0.68479,                0.42507,                 1.3718,                 1.4299,                 1.8282,               0.001208,               0.001208,               0.001208
                     15,                  1.335,                 1.1573,                 1.5535,                0.73894,                0.67052,                0.68384,                0.41833,                 1.4748,                 1.5416,                 1.8778,               0.001142,               0.001142,               0.001142
                     16,                  1.305,                 1.1066,                 1.5349,                0.74748,                0.71866,                 0.7627,                0.41936,                 1.3891,                 1.1985,                  1.682,               0.001076,               0.001076,               0.001076
                     17,                 1.2981,                 1.1225,                  1.547,                0.69259,                0.69364,                0.72599,                0.40744,                 1.5128,                 1.4512,                  1.794,                0.00101,                0.00101,                0.00101
                     18,                 1.2737,                 1.1049,                 1.5129,                0.73941,                0.77088,                0.76574,                0.46774,                 1.4016,                 1.1989,                 1.7745,               0.000944,               0.000944,               0.000944
                     19,                 1.2535,                 1.0459,                 1.5034,                0.68913,                 0.7341,                0.70881,                0.43259,                 1.3638,                  1.255,                  1.693,               0.000878,               0.000878,               0.000878
                     20,                  1.262,                  1.063,                 1.4995,                0.75431,                0.76309,                0.76091,                0.44751,                 1.4851,                 1.2068,                  1.824,               0.000812,               0.000812,               0.000812
                     21,                  1.286,                 1.0322,                 1.6907,                0.73074,                0.75723,                0.72711,                 0.4488,                 1.3716,                  1.182,                 1.7401,               0.000746,               0.000746,               0.000746
                     22,                 1.2321,                0.94601,                 1.6493,                0.71467,                0.76736,                0.75485,                0.44825,                 1.3755,                 1.2397,                 1.7754,                0.00068,                0.00068,                0.00068
                     23,                 1.1976,                0.89904,                 1.6041,                 0.7533,                0.75897,                 0.7433,                0.45517,                 1.3928,                   1.09,                 1.7002,               0.000614,               0.000614,               0.000614
                     24,                 1.2257,                0.89175,                  1.623,                 0.7938,                0.71098,                0.75107,                0.46431,                 1.4055,                 1.1854,                 1.7411,               0.000548,               0.000548,               0.000548
                     25,                 1.1909,                0.88414,                 1.6031,                0.79985,                0.74566,                0.79488,                0.47351,                 1.3224,                 1.1229,                 1.6952,               0.000482,               0.000482,               0.000482
                     26,                 1.1548,                0.81918,                 1.5631,                0.78883,                0.75723,                0.78192,                 0.4829,                 1.2761,                 1.0832,                 1.6658,               0.000416,               0.000416,               0.000416
                     27,                 1.1278,                0.80614,                  1.526,                0.79284,                0.75216,                    0.8,                0.48773,                 1.3119,                 1.0617,                 1.6922,                0.00035,                0.00035,                0.00035
                     28,                 1.0999,                0.80656,                 1.5221,                 0.7958,                0.79191,                0.80583,                0.51613,                 1.2888,                 0.9928,                  1.641,               0.000284,               0.000284,               0.000284
                     29,                 1.0773,                0.75342,                 1.5042,                0.86332,                 0.7341,                0.79183,                0.48453,                 1.3054,                 1.0291,                 1.6579,               0.000218,               0.000218,               0.000218
                     30,                 1.0799,                0.74359,                  1.502,                0.84317,                0.76301,                0.81737,                0.50463,                 1.2872,                0.99422,                 1.6431,               0.000152,               0.000152,               0.000152
